hypothesis_id,logged_utc,title,story,split,window,metric,real_value,placebo_max,placebo_mean,beats_best_placebo,t_stat,n_buckets,n_trades,decision,notes,supersedes
5d7650b1840e,2026-08-14 09:10:12.701728+00:00,mean_reversion re-test (honest execution),"A name pushed 1.5+ sample std devs below its own 50-day average in a short window is disproportionately a forced or panicked seller (margin calls, index-fund rebalancing, tax-loss selling, an overreacted headline) rather than someone with new information about permanently impaired value; the imbalance is expected to partially correct once the selling pressure itself is exhausted. This is the predecessor project's only strategy that survived a genuine held-out walk-forward validation - this run re-tests it under honest execution (T+1 open fills, real costs, a point-in-time universe) rather than trusting the earlier result.",primary,train,mean_net_pct,-0.9716821472524912,-0.5701476925210732,-0.6157137990487384,False,-0.8246089970331484,616,20499,rejected,"portfolio Sharpe -0.761, CAGR -9.49%, max DD -75.34%",
61fcd3023c4b,2026-08-15T08:02:53.141825+00:00,delivery_breakout (honest execution),"A price breakout on ordinary or low delivery is disproportionately intraday speculation squaring off the same day - momentum with no one actually taking the shares home, prone to reverse once that flow unwinds overnight. A breakout where delivery_pct sits meaningfully above its own recent normal is disproportionately real buyers converting the move into settled positions, which the market then has to keep absorbing rather than give back. market_gate blended delivery into a multi-term composite (its participation term) but never tested it alone, under honest execution, as a standalone signal.",delivery,train,mean_net_pct,0.0768675296888009,0.6131070798090048,0.3684503256722625,False,-1.9481130415670311,170,2194,rejected,"portfolio Sharpe 0.088, CAGR 0.38%, max DD -25.88%, delivery coverage 7.7%",
80aff81a749e,2026-08-15T09:07:21.772367+00:00,oi_momentum (honest execution),"A price breakout on falling or merely average open interest is disproportionately short-covering or spot-only buying with no fresh leveraged conviction behind it. A breakout accompanied by open interest rising meaningfully faster than its own recent normal means participants are opening NEW leveraged positions into the move, more costly to reverse than an unlevered spot rally, disproportionately real conviction rather than noise. Filtered to days_to_expiry in [5, 25] to remove the measured post-rollover ramp and pre-expiry rolldown mechanical effects before testing whether anything real remains.",primary,train,mean_net_pct,-0.6272720050426498,0.5218685987401855,0.3204440014019265,False,-4.524196006424618,328,2448,rejected,"portfolio Sharpe -0.739, CAGR -9.06%, max DD -73.54%, OI coverage 3.0%",
ee447825d3a7,2026-08-15T09:15:17.520486+00:00,participant_tilt (honest execution),"A mean-reversion dip bought while FII net index-futures positioning sits above its own recent trend is disproportionately a normal pullback inside a market institutions are still net accumulating into. The identical dip bought while FII positioning sits below its own recent trend is disproportionately the early stage of a real breakdown - buying it fights the flow that actually moves the market. Since NSE's participant-OI report has no per-stock breakdown, this can only gate WHETHER any dip is bought on a given day, market-wide, uniformly across every symbol - it cannot select WHICH stock, that is still mean_reversion_signal's job.",delivery,train,mean_net_pct,-0.5152768107504366,-0.0786612298706878,-0.2097949635911257,False,1.999294167646228,125,2916,rejected,"portfolio Sharpe 0.072, CAGR 0.26%, max DD -38.04%, FII flow coverage 29.0%",
663cebb9f054,2026-08-17T04:33:41.923003+00:00,vol_squeeze_breakout (honest execution),"A price breakout that shows up while a stock's own recent range is already wide is easy to shrug off - there is no quiet baseline to break out FROM. A breakout that follows a genuine contraction (the stock's own short-term range compressed well below its own longer-run normal) is different: participants have been sitting on their hands, and the move that finally breaks the range is disproportionately the first real re-pricing after that quiet, not noise inside an already-active range. None of the four Phase 1-3 signals (price, delivery, OI, FII flow) tested this axis - how much the stock itself has been moving, not who is trading it.",primary,train,mean_net_pct,-0.3819995458716935,0.3803954952068888,0.2507738315156838,False,-5.984968856407491,558,4792,rejected,"portfolio Sharpe -0.564, CAGR -8.31%, max DD -70.17%",
e39de46a0f24,2026-08-17T05:00:13.408118+00:00,"vol_squeeze_breakout (delay=2, honest execution)","vol_squeeze_breakout (immediate entry) rejected 2026-08-17 with the sharpest stop-hit skew of any Phase 1-4 signal (20.6% vs placebo's 12.0%), because its own entry condition IS a live volatility dislocation - it buys at the literal peak of the move the entry-timing diagnostic (2026-08-15) already flagged as the common cause of every prior rejection. diagnostic_entry_delay.py swept delay=0..3 sessions and found the skew closes steadily with delay, turning mean_net_pct positive by delay=2. This test picks delay=2 on the principle that it is where the SKEW closes (0.54pp gap to placebo, the smallest of any delay swept), not because it scored best (delay=3 scored higher on percentile-vs-placobos) - avoiding the free-parameter-tuned-to-outcome trap this project already caught once in market_gate's driver-smoothing episode.",primary,train,mean_net_pct,0.0773770804724346,0.2885732278231022,0.1004978479335353,False,-1.7651134564207416,550,4802,rejected,"portfolio Sharpe -0.276, CAGR -7.21%, max DD -78.17%, delay_days=2 chosen where stop-hit skew closes, not best-scoring delay",
cdd796d6e171,2026-08-17T07:37:51.003325+00:00,pairs_reversion (honest fills + costs),"Two stocks from the same sector, historically correlated, whose log-price spread has drifted unusually wide are disproportionately showing a temporary, idiosyncratic dislocation (one name overreacting to news that is really about the sector, an index-fund flow, an earnings surprise bleeding into its peer's price) rather than a genuine re-rating of their relative value - the position only needs the RELATIVE mispricing to close, a narrower claim than a directional bet on the sector. Market-neutral by construction, the one design in this project that does not need the sector or the market to move a particular direction to work.",primary,train,net_pnl_pct,0.1542558079177629,0.2587020417192283,0.2587020417192283,False,0.1837626816223567,149,197,rejected,placebo(random same-sector): n=146 mean=0.2587% t=0.994,
ddc14822fb70,2026-08-17T09:01:18.787205+00:00,price_action LONG (honest execution),"An ordinary session has a normal range, and most wide-range sessions are still indecisive - price whips both directions and settles back near the middle, telling you nothing except that the day was volatile. A session that is BOTH unusually wide AND closes pinned at one extreme is a different claim: participants pushed the price one way and never let it come back, all session, on volume well above what that stock normally trades - disproportionately genuine new information or real institutional participation, not noise. Deliberately a different shape from vol_squeeze_breakout (which needs a prior contraction) - this signal requires nothing about what came before, only that today's own bar is the outlier.",primary,train,mean_net_pct,-0.590941119880795,0.1900558225255969,0.046403070630185,False,-6.170574796786849,618,8807,rejected,"portfolio Sharpe -0.871, CAGR -9.45%, max DD -73.11% - LONG side only, short side screened separately (no honest short simulator yet)",
0b11b017cef9,2026-08-18T05:10:00.703239+00:00,pairs_reversion (honest fills + costs),"Two stocks from the same sector, historically correlated, whose log-price spread has drifted unusually wide are disproportionately showing a temporary, idiosyncratic dislocation (one name overreacting to news that is really about the sector, an index-fund flow, an earnings surprise bleeding into its peer's price) rather than a genuine re-rating of their relative value - the position only needs the RELATIVE mispricing to close, a narrower claim than a directional bet on the sector. Market-neutral by construction, the one design in this project that does not need the sector or the market to move a particular direction to work.",primary,train,net_pnl_pct,0.1760419617914634,0.4009774350779522,0.4009774350779522,False,0.5776570522850745,154,216,rejected,rollforward-at-entry fix applied (min_dte=10d); placebo(random same-sector): n=162 mean=0.4010% t=2.339,
c55019a896e7,2026-08-18T05:19:21.142263+00:00,same_sector_pairing (random draw),"Two stocks from the same sector are linked enough by common exposure (sector-wide fund flows, an index/ETF rebalance that hits the whole sector, one company's earnings surprise bleeding sentiment into its peer, shared regulatory or input-cost shocks) that a wide relative-price dislocation between them is disproportionately temporary - unlike the original pairs_reversion premise, this does NOT require the two names to already be historically correlated; shared sector membership alone is the claim being tested.",primary,train,net_pnl_pct,0.274762587370361,0.0979257094577875,0.0979257094577875,True,3.4913311580438458,470,3409,accepted,"placebo(random, any sector): n=2944 mean=0.0979% t=1.466",
