symbol,industry
360ONE,Financial Services
AARTIIND,Chemicals
ABB,Capital Goods
ABCAPITAL,Financial Services
ABREL,Realty
ADANIENSOL,Power
ADANIENT,Diversified
ADANIGREEN,Power
ADANIPORTS,Logistics
ADANIPOWER,Power
AEGISLOG,Oil & Gas
AFCONS,Capital Goods
AFFLE,Internet/Platform
ALKEM,Pharma
AMBER,Consumer Durables
AMBUJACEM,Cement
ANANDRATHI,Financial Services
ANANTRAJ,Realty
ANGELONE,Financial Services
APLAPOLLO,Metals
APOLLOHOSP,Pharma
APTUS,Financial Services
ARE&M,Auto
ASHOKLEY,Auto
ASIANPAINT,FMCG
ASTERDM,Pharma
ASTRAL,Chemicals
ATGL,Oil & Gas
ATHERENERG,Auto
AUBANK,Banking
AUROPHARMA,Pharma
AXISBANK,Banking
BAJAJ-AUTO,Auto
BAJAJFINSV,Financial Services
BAJAJHLDNG,Financial Services
BAJFINANCE,Financial Services
BANDHANBNK,Banking
BANKBARODA,Banking
BANKINDIA,Banking
BDL,Defense
BEML,Capital Goods
BHARATFORG,Auto
BHARTIARTL,Telecom
BHEL,Capital Goods
BIOCON,Pharma
BLS,Services
BLUESTARCO,Consumer Durables
BOSCHLTD,Auto
BPCL,Oil & Gas
BRIGADE,Realty
BRITANNIA,FMCG
BSE,Financial Services
CAMS,Financial Services
CANBK,Banking
CASTROLIND,Chemicals
CDSL,Financial Services
CESC,Power
CGCL,Financial Services
CGPOWER,Capital Goods
CHAMBLFERT,Chemicals
CHOLAFIN,Financial Services
CHOLAHLDNG,Financial Services
CIPLA,Pharma
COALINDIA,Metals
COCHINSHIP,Defense
COFORGE,IT
COHANCE,Pharma
COLPAL,FMCG
CONCOR,Logistics
COROMANDEL,Chemicals
CREDITACC,Financial Services
CROMPTON,Consumer Durables
CUB,Banking
CUMMINSIND,Auto
DABUR,FMCG
DATAPATTNS,Defense
DEEPAKFERT,Chemicals
DELHIVERY,Internet/Platform
DEVYANI,FMCG
DIVISLAB,Pharma
DIXON,Consumer Durables
DLF,Realty
DMART,Retail
DRREDDY,Pharma
EICHERMOT,Auto
ENRIN,Power
EXIDEIND,Auto
FEDERALBNK,Banking
FIRSTCRY,Internet/Platform
FIVESTAR,Financial Services
FORCEMOT,Auto
FORTIS,Pharma
FSL,IT
GAIL,Oil & Gas
GESHIP,Logistics
GLAND,Pharma
GLENMARK,Pharma
GMDCLTD,Metals
GMRAIRPORT,Logistics
GODFRYPHLP,FMCG
GODREJCP,FMCG
GODREJPROP,Realty
GPIL,Metals
GRASIM,Cement
